FileName,Sample,Site,Group,IndivNames,Indiv,Type,Gland,Sex,Age,Repro,Peak,RT,Purity,Amount,Area
TZ_O2sp,TZ07,Captive,GroupA,TZ_O2,Male2,Gland,Gsp,Male,Adult,Reproductive,P58,22.2358,63%,0.11%,494834181
TZ_O2sp,TZ07,Captive,GroupA,TZ_O2,Male2,Gland,Gsp,Male,Adult,Reproductive,P59,23.185,59%,0.10%,453564572
WI4_MI4_LPGsp,WI22,Wild,Group1,MI4_LPG,Grp1_Fem1,Gland,Gsp,Female,Subadult,Non-reproductive,P01,3.042,25%,0.15%,10661657
WI2_MI4_LPLsp,WI10,Wild,Group1,MI4_LPL,Grp1_Fem2,Gland,Gsp,Female,Adult,Reproductive,P01,3.0283,72%,0.59%,13292093
WI2_MI4_LPRsp,WI12,Wild,Group1,MI4_LPR,Grp1_Fem3,Gland,Gsp,Female,Adult,Reproductive,P01,3.0174,70%,0.85%,62340789
WI3_MI4_LRCsp,WI18,Wild,Group1,MI4_LRC,Grp1_Fem4,Gland,Gsp,Female,Adult,Reproductive,P01,3.0484,33%,0.15%,141170
WI4_T8_BlPYsp,WI25,Wild,Group2,T8_BlPY,Grp2_Fem1,Gland,Gsp,Female,Adult,Reproductive,P01,3.0188,88%,1.30%,64914635
WI4_T8_BlBRsp,WI24,Wild,Group2,T8_BlBR,Grp2_Male1,Gland,Gsp,Male,Adult,Reproductive,P01,3.0219,93%,0.83%,48308877
WI4_T8_YBSsp,WI27,Wild,Group2,T8_YBS,Grp2_Male2,Gland,Gsp,Male,Adult,Reproductive,P01,3.0198,94%,0.83%,72069771
WI3_MI4_LRCsp,WI18,Wild,Group1,MI4_LRC,Grp1_Fem4,Gland,Gsp,Female,Adult,Reproductive,P03,4.4777,74%,0.10%,3021113
WI4_MI4_LPGsp,WI22,Wild,Group1,MI4_LPG,Grp1_Fem1,Gland,Gsp,Female,Subadult,Non-reproductive,P05,6.1417,87%,0.11%,7762107
